raw offset	Play89_2.dmp	Play89_3.dmp	Play89_4.dmp	Play89_5.dmp
01A3BBFAh:	32	31	52	00
01A3BBFBh:	31	32	65	00
01A3BBFCh:	31	32	64	01
01A3BC00h:	31	32	6C	DC
01A3BC0Ah:	31	32	65	8D
01A3BC39h:	31	32	75	FE
01A3BC48h:	31	61	29	88
01A3BC49h:	31	74	20	C3
01A3BC4Ah:	31	63	49	8D
01A3BC4Ch:	31	20	3A	00
01A3BC4Dh:	31	50	20	00
01A3BC4Eh:	31	6C	32	00
01A3BC4Fh:	31	61	2C	00
01A3BC52h:	31	72	42	00
01A3BC54h:	31	75	6C	00
01A3BC55h:	31	6E	6C	00
01A3BC56h:	31	64	73	00
01A3BC57h:	31	23	49	00
01A3BC58h:	31	3D	6E	00
01A3BC5Ah:	31	20	6F	00
01A3BC5Bh:	31	2C	63	00
01A3BC5Ch:	31	20	6B	00
01A3BC5Dh:	31	6D	65	00
01A3BC5Eh:	31	6F	74	00
01A3BC5Fh:	32	76	3D	00
01A3BC60h:	31	65	30	00
01A3BC61h:	31	23	20	00
01A3BC63h:	31	33	53	00
01A3BC64h:	31	0D	63	00
01A3BC65h:	31	0A	6F	00
01A3BC67h:	31	74	65	00
01A3BC68h:	31	6B	3D	00
01A3BC6Ah:	31	35	20	00
01A3BC6Bh:	32	30	20	00
01A3BC6Dh:	31	28	61	01
01A3BC6Eh:	31	41	6C	00
01A3BC71h:	31	29	72	FE
01A3BC72h:	31	2C	6F	02
01A3BC74h:	31	63	70	00
01A3BC75h:	31	72	3D	00
01A3BC76h:	31	3D	30	00
01A3BC78h:	31	30	0D	C0
01A3BC79h:	31	30	0A	C3
01A3BC7Bh:	31	30	54	02
01A3BC7Ch:	31	2C	61	C0
01A3BC7Dh:	31	53	62	C3
01A3BC7Eh:	31	75	6C	8D
01A3BC81h:	31	61	53	C3
01A3BC82h:	31	6D	74	8D
01A3BC83h:	31	65	61	02
01A3BC85h:	31	79	65	00
01A3BC86h:	31	70	3A	00
01A3BC87h:	31	65	20	00
01A3BC8Ch:	31	69	2C	00
01A3BC8Dh:	31	6D	2D	00
01A3BC8Eh:	31	69	30	00
01A3BC8Fh:	31	74	2E	00
01A3BC91h:	31	38	34	00
01A3BC92h:	31	30	36	00
01A3BC94h:	31	30	32	00
01A3BC96h:	31	41	2C	00
01A3BC97h:	31	75	2D	00
01A3BC98h:	32	74	30	00
01A3BC99h:	31	6F	2E	00
01A3BC9Ah:	31	3D	37	00
01A3BC9Ch:	31	2C	33	00
01A3BC9Dh:	31	44	32	00
01A3BC9Eh:	31	62	35	00
01A3BC9Fh:	31	6C	35	00
01A3BCA3h:	31	20	2C	00
01A3BCA5h:	31	75	2C	01
01A3BCA6h:	31	69	2D	00
01A3BCA7h:	32	64	31	00
01A3BCA8h:	31	65	2C	CB
01A3BCA9h:	31	4C	2D	FE
01A3BCABh:	31	6E	2E	4E
01A3BCACh:	31	65	37	00
01A3BCADh:	31	73	34	00
01A3BCB1h:	31	20	39	C3
01A3BCB2h:	31	52	2C	8D
01A3BCB5h:	31	42	2E	C3
01A3BCB8h:	31	6C	36	F8
01A3BCB9h:	31	73	34	C3
01A3BCBAh:	31	3D	32	8D
01A3BCBCh:	31	0D	2C	00
01A3BCBDh:	31	0A	2D	00
01A3BCBFh:	31	6C	2C	00
